gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
15119,Handy Dictionary of Poetical Quotations,NA,NA,en,NA,Public domain in the USA.,TRUE
15120,The Broadway Anthology,NA,NA,en,NA,Public domain in the USA.,TRUE
15121,"Punch, or the London Charivari, Volume 152, May 2, 1917",Various,116,en,Punch,Public domain in the USA.,TRUE
15122,The Little Colonel's Hero,"Johnston, Annie F. (Annie Fellows)",3050,en,Children's Book Series,Public domain in the USA.,TRUE
15123,David Lockwin—The People's Idol,"McGovern, John",7620,en,NA,Public domain in the USA.,TRUE
15124,The Lighthouse,"Ballantyne, R. M. (Robert Michael)",333,en,Children's Fiction,Public domain in the USA.,TRUE
15125,The Awakening of China,"Martin, W. A. P. (William Alexander Parsons)",5867,en,NA,Public domain in the USA.,TRUE
15126,"Lecture on the Aborigines of Newfoundland
Delivered Before the Mechanics' Institute, at St. John's, Newfoundland, on Monday, 17th January, 1859","Noad, Joseph",5868,en,Anthropology/Native America,Public domain in the USA.,TRUE
15128,"Narrative of the Life of J.D. Green, a Runaway Slave, from Kentucky
Containing an Account of His Three Escapes, in 1839, 1846, and 1848","Green, J. D. (Jacob D.)",5870,en,Slavery,Public domain in the USA.,TRUE
15130,"The Fugitive Blacksmith
or, Events in the History of James W. C. Pennington, Pastor of a Presbyterian Church, New York, Formerly a Slave in the State of Maryland, United States","Pennington, James W. C.",5872,en,NA,Public domain in the USA.,TRUE
15131,With Rimington,"Phillipps, L. March (Lisle March)",5873,en,NA,Public domain in the USA.,TRUE
15132,"Narrative of William W. Brown, a Fugitive Slave","Brown, William Wells",135,en,African American Writers/Slavery,Public domain in the USA.,TRUE
15133,"Campfire Girls in the Allegheny Mountains; or, A Christmas Success against Odds","Francis, Stella M.",5874,en,Children's Book Series/Christmas,Public domain in the USA.,TRUE
15134,"Supplement to Animal Sanctuaries in Labrador
Supplement to an Address Presented by Lt.-Colonel William Wood, F.R.S.C. Before the Second Annual Meeting of the Commission of Conservation in January, 1911","Wood, William",986,en,Ecology,Public domain in the USA.,TRUE
15135,The Three Black Pennys: A Novel,"Hergesheimer, Joseph",2218,en,Contemporary Reviews,Public domain in the USA.,TRUE
15138,A Hoosier Chronicle,"Nicholson, Meredith",4371,en,"Bestsellers, American, 1895-1923",Public domain in the USA.,TRUE
15140,"Washington's Birthday
Its history, observance, spirit, and significance as related in prose and verse, with a selection from Washington's speeches and writings",NA,NA,en,NA,Public domain in the USA.,TRUE
15141,"Beethoven, a character study; together with Wagner's indebtedness to Beethoven","Fischer, George Alexander",5945,en,Music,Public domain in the USA.,TRUE
15142,"Punch, or the London Charivari, Volume 103, August 13, 1892",Various,116,en,Punch,Public domain in the USA.,TRUE
15143,Famous Modern Ghost Stories,NA,NA,en,Short Stories,Public domain in the USA.,TRUE
15144,"Punch, or the London Charivari, Volume 103, August 27, 1892",Various,116,en,Punch,Public domain in the USA.,TRUE
15145,My Book of Favourite Fairy Tales,"Vredenburg, Edric",5877,en,"Children's Anthologies/Children's Myths, Fairy Tales, etc.",Public domain in the USA.,TRUE
15147,Beeton's Book of Needlework,"Beeton, Mrs. (Isabella Mary)",3324,en,Crafts/Technology,Public domain in the USA.,TRUE
15148,Six Feet Four,"Gregory, Jackson",3384,en,NA,Public domain in the USA.,TRUE
15149,The Palace Beautiful: A Story for Girls,"Meade, L. T.",1621,en,Children's Fiction,Public domain in the USA.,TRUE
15151,"A Book of the Play
Studies and Illustrations of Histrionic Story, Life, and Character","Cook, Dutton",5880,en,NA,Public domain in the USA.,TRUE
15154,Psychology and Industrial Efficiency,"Münsterberg, Hugo",5888,en,"Psychology/Bestsellers, American, 1895-1923",Public domain in the USA.,TRUE
15155,Windjammers and Sea Tramps,"Runciman, Walter Runciman, Baron",5889,en,NA,Public domain in the USA.,TRUE
15156,Balloons,"Bibesco, Elizabeth",5890,en,NA,Public domain in the USA.,TRUE
15157,"The Philippine Islands, 1493-1898 — Volume 16 of 55 
1609
Explorations by Early Navigators, Descriptions of the Islands and Their Peoples, Their History and Records of the Catholic Missions, as Related in Contemporaneous Books and Manuscripts, Showing the Political, Economic, Commercial and Religious Conditions of Those Islands from Their Earliest Relations with European Nations to the Close of the Nineteenth Century",NA,NA,en,NA,Public domain in the USA.,TRUE
15158,"In Time of Emergency
A Citizen's Handbook on Nuclear Attack, Natural Disasters (1968)",United States. Office of Civil Defense,5893,en,NA,Public domain in the USA.,TRUE
15159,"Heart's Desire
The Story of a Contented Town, Certain Peculiar Citizens, and Two Fortunate Lovers
A Novel","Hough, Emerson",1094,en,NA,Public domain in the USA.,TRUE
15160,On Commando,"Van Warmelo, Dietlof",5894,en,NA,Public domain in the USA.,TRUE
15161,"Great Fortunes, and How They Were Made","McCabe, James Dabney",8798,en,NA,Public domain in the USA.,TRUE
15162,Scotland's Mark on America,"Black, George Fraser",5896,en,NA,Public domain in the USA.,TRUE
15164,Folk Tales Every Child Should Know,NA,NA,en,"Children's Anthologies/Children's Myths, Fairy Tales, etc.",Public domain in the USA.,TRUE
15165,Welsh Lyrics of the Nineteenth Century,NA,NA,en,NA,Public domain in the USA.,TRUE
15166,"Punch, or the London Charivari, Volume 103, September 3, 1892",Various,116,en,Punch,Public domain in the USA.,TRUE
15167,London River,"Tomlinson, H. M. (Henry Major)",5787,en,United Kingdom,Public domain in the USA.,TRUE
15168,Bowser the Hound,"Burgess, Thornton W. (Thornton Waldo)",717,en,Children's Literature,Public domain in the USA.,TRUE
15169,The Bobbsey Twins in a Great City,"Hope, Laura Lee",367,en,Children's Book Series,Public domain in the USA.,TRUE
15170,The Child's World: Third Reader,NA,NA,en,Children's Instructional Books,Public domain in the USA.,TRUE
15171,"Journals of Travels in Assam, Burma, Bhootan, Afghanistan and the Neighbouring Countries","Griffith, William",5900,en,NA,Public domain in the USA.,TRUE
15172,The Ceremonies of the Holy-Week at Rome,"Baggs, Charles Michael",5901,en,NA,Public domain in the USA.,TRUE
15173,Pictures of Jewish Home-Life Fifty Years Ago,"Trager, Hannah",5902,en,Judaism,Public domain in the USA.,TRUE
15174,Memories and Anecdotes,"Sanborn, Kate",4181,en,NA,Public domain in the USA.,TRUE
15175,A Century of Wrong,"Smuts, Jan Christiaan",39144,en,NA,Public domain in the USA.,TRUE
15176,"English Literature, Considered as an Interpreter of English History
Designed as a Manual of Instruction","Coppée, Henry",5904,en,NA,Public domain in the USA.,TRUE
15177,Nocturne,"Swinnerton, Frank",5786,en,NA,Public domain in the USA.,TRUE
15179,"The Inner Sisterhood
A Social Study in High Colors","Sherley, Douglass",5702,en,NA,Public domain in the USA.,TRUE
15180,The Honorable Percival,"Rice, Alice Caldwell Hegan",1471,en,NA,Public domain in the USA.,TRUE
15181,"My Mother's Rival
Everyday Life Library No. 4","Brame, Charlotte M.",878,en,NA,Public domain in the USA.,TRUE
15182,"Marion Arleigh's Penance
Everyday Life Library No. 5","Brame, Charlotte M.",878,en,NA,Public domain in the USA.,TRUE
15183,"The Tragedy of the Chain Pier
Everyday Life Library No. 3","Brame, Charlotte M.",878,en,NA,Public domain in the USA.,TRUE
15184,"The Philippine Islands, 1493-1898 — Volume 13 of 55
1604-1605
Explorations by Early Navigators, Descriptions of the Islands and Their Peoples, Their History and Records of The Catholic Missions, As Related in Contemporaneous Books and Manuscripts, Showing the Political, Economic, Commercial and Religious Conditions of Those Islands from Their Earliest Relations with European Nations to the Close of the Nineteenth Century",NA,NA,en,NA,Public domain in the USA.,TRUE
15185,Quiet Talks on John's Gospel,"Gordon, S. D. (Samuel Dickey)",4409,en,Christianity,Public domain in the USA.,TRUE
15186,Folk-Lore and Legends: Scandinavian,NA,NA,en,NA,Public domain in the USA.,TRUE
15187,The Children of the King: A Tale of Southern Italy,"Crawford, F. Marion (Francis Marion)",1316,en,NA,Public domain in the USA.,TRUE
15188,"The Outdoor Chums After Big Game; Or, Perilous Adventures in the Wilderness","Allen, Quincy",3424,en,Children's Book Series,Public domain in the USA.,TRUE
15189,When Buffalo Ran,"Grinnell, George Bird",4021,en,NA,Public domain in the USA.,TRUE
15190,"With the Harmony to Labrador
Notes of a visit to the Moravian mission stations on the north-east coast of Labrador","La Trobe, Benjamin",5909,en,NA,Public domain in the USA.,TRUE
15191,"The Commercial Products of the Vegetable Kingdom
Considered in Their Various Uses to Man and in Their Relation to the Arts and Manufactures; Forming a Practical Treatise & Handbook of Reference for the Colonist, Manufacturer, Merchant, and Consumer, on the Cultivation, Preparation for Shipment, and Commercial Value, &c. of the Various Substances Obtained From Trees and Plants, Entering into the Husbandry of Tropical and Sub-tropical Regions, &c.","Simmonds, P. L. (Peter Lund)",5910,en,NA,Public domain in the USA.,TRUE
15192,Salomy Jane,"Harte, Bret",593,en,Movie Books,Public domain in the USA.,TRUE
15193,"Scientific American Supplement, No. 841, February 13, 1892",Various,116,en,Scientific American,Public domain in the USA.,TRUE
15194,Out To Win: The Story of America in France,"Dawson, Coningsby",2497,en,"World War I/Bestsellers, American, 1895-1923",Public domain in the USA.,TRUE
15195,Rose of Old Harpeth,"Daviess, Maria Thompson",1284,en,NA,Public domain in the USA.,TRUE
15196,"Punch, or the London Charivari, Volume 103, September 10, 1892",Various,116,en,Punch,Public domain in the USA.,TRUE
15197,"Notes and Queries, Number 29, May 18, 1850",Various,116,en,Notes and Queries,Public domain in the USA.,TRUE
15198,"The Works of the Right Honourable Edmund Burke, Vol. 02 (of 12)","Burke, Edmund",842,en,NA,Public domain in the USA.,TRUE
15199,The Reformed Librarie-Keeper (1650),"Dury, John",5911,en,Bibliomania,Public domain in the USA.,TRUE
15200,Selections From the Works of John Ruskin,"Ruskin, John",359,en,NA,Public domain in the USA.,TRUE
15202,"Young Folks' Treasury, Volume 2 (of 12)
Myths and Legendary Heroes",NA,NA,en,Children's Anthologies,Public domain in the USA.,TRUE
15204,"Women Wage-Earners: Their Past, Their Present, and Their Future","Campbell, Helen",2222,en,NA,Public domain in the USA.,TRUE
15205,The Feast of the Virgins and Other Poems,"Gordon, Hanford Lennox",2652,en,NA,Public domain in the USA.,TRUE
15207,The New Physics and Its Evolution,"Poincaré, Lucien",5915,en,Physics,Public domain in the USA.,TRUE
15209,Clear Crystals,"Beede, Clara Frances McKee",5916,en,NA,Public domain in the USA.,TRUE
15210,Darkwater: Voices from Within the Veil,"Du Bois, W. E. B. (William Edward Burghardt)",226,en,African American Writers,Public domain in the USA.,TRUE
15211,Some Broken Twigs,"Beede, Clara Frances McKee",5916,en,NA,Public domain in the USA.,TRUE
15214,Sevenoaks: A Story of Today,"Holland, J. G. (Josiah Gilbert)",2046,en,NA,Public domain in the USA.,TRUE
15216,"Notes and Queries, Number 55, November 16, 1850",Various,116,en,Notes and Queries,Public domain in the USA.,TRUE
15218,"The Woman Who Toils
Being the Experiences of Two Gentlewomen as Factory Girls",NA,NA,en,NA,Public domain in the USA.,TRUE
15219,If Only etc.,NA,NA,en,NA,Public domain in the USA.,TRUE
15220,"The Life and Work of Susan B. Anthony (Volume 1 of 2)
Including Public Addresses, Her Own Letters and Many From Her Contemporaries During Fifty Years","Harper, Ida Husted",5924,en,NA,Public domain in the USA.,TRUE
15221,A New Conscience and an Ancient Evil,"Addams, Jane",602,en,"Bestsellers, American, 1895-1923",Public domain in the USA.,TRUE
15222,Looking Seaward Again,"Runciman, Walter Runciman, Baron",5889,en,NA,Public domain in the USA.,TRUE
15223,"Doctor Claudius, A True Story","Crawford, F. Marion (Francis Marion)",1316,en,NA,Public domain in the USA.,TRUE
15224,With Steyn and De Wet,"Pienaar, F. F. (Filippus Fourie)",5925,en,NA,Public domain in the USA.,TRUE
15225,Andreas: The Legend of St. Andrew,NA,NA,en,NA,Public domain in the USA.,TRUE
15227,"The Adventures of Prince Lazybones, and Other Stories","Hays, Helen Ashe",5926,en,NA,Public domain in the USA.,TRUE
15228,Lady Good-for-Nothing: A Man's Portrait of a Woman,"Quiller-Couch, Arthur",3579,en,NA,Public domain in the USA.,TRUE
15229,"A Review of the Resources and Industries of the State of Washington, 1909","Howell, Ithamar M. (Ithamar Martindale)",5932,en,NA,Public domain in the USA.,TRUE
15230,Miss Mink's Soldier and Other Stories,"Rice, Alice Caldwell Hegan",1471,en,Contemporary Reviews,Public domain in the USA.,TRUE
15231,"The American Missionary — Volume 44, No. 02, February, 1890",Various,116,en,The American Missionary,Public domain in the USA.,TRUE
15232,"Notes and Queries, Number 51, October 19, 1850",Various,116,en,Notes and Queries,Public domain in the USA.,TRUE
15233,Authentic Narrative of the Death of Lord Nelson,"Beatty, William",5934,en,Napoleonic(Bookshelf),Public domain in the USA.,TRUE
15234,The Tale of the Pie and the Patty Pan,"Potter, Beatrix",292,en,Children's Picture Books,Public domain in the USA.,TRUE
15237,The Chemistry of Food and Nutrition,"Duncan, A. W.",5936,en,Technology/Chemistry/Cookbooks and Cooking,Public domain in the USA.,TRUE
15238,Mathilda,"Shelley, Mary Wollstonecraft",61,en,NA,Public domain in the USA.,TRUE
15240,A Journal of a Tour in the Congo Free State,"Dorman, Marcus R. P.",5946,en,Africa,Public domain in the USA.,TRUE
15241,All About Johnnie Jones,"Verhoeff, Carolyn",5937,en,NA,Public domain in the USA.,TRUE
15242,Desert Love,"Conquest, Joan",5938,en,NA,Public domain in the USA.,TRUE
15243,"Over Paradise Ridge
A Romance","Daviess, Maria Thompson",1284,en,NA,Public domain in the USA.,TRUE
15244,"Lewie; Or, The Bended Twig","Bradford, Sarah H. (Sarah Hopkins)",5940,en,NA,Public domain in the USA.,TRUE
15245,"Twenty-Seven Years in Canada West
The Experience of an Early Settler (Volume I)","Strickland, Samuel",5941,en,NA,Public domain in the USA.,TRUE
15246,The Tragedy of St. Helena,"Runciman, Walter Runciman, Baron",5889,en,NA,Public domain in the USA.,TRUE
15247,John Henry Smith: A humorous romance of outdoor life,"Adams, Frederick Upham",5942,en,NA,Public domain in the USA.,TRUE
15248,Success (Second Edition),"Beaverbrook, Max Aitken, Baron",5943,en,NA,Public domain in the USA.,TRUE
15249,Outspoken Essays,"Inge, William Ralph",1534,en,NA,Public domain in the USA.,TRUE
15250,Myths and Legends of China,"Werner, E. T. C. (Edward Theodore Chalmers)",5947,en,Folklore/Mythology,Public domain in the USA.,TRUE
15251,The Biography of Robert Murray M'Cheyne,"Bonar, Andrew A. (Andrew Alexander)",5948,en,NA,Public domain in the USA.,TRUE
15252,Victorian Short Stories: Stories of Successful Marriages,NA,NA,en,Short Stories,Public domain in the USA.,TRUE
15253,The Advance of Science in the Last Half-Century,"Huxley, Thomas Henry",595,en,NA,Public domain in the USA.,TRUE
15254,"Maxims and Opinions of Field-Marshal His Grace the Duke of Wellington, Selected From His Writings and Speeches During a Public Life of More Than Half a Century","Wellington, Arthur Wellesley, Duke of",5951,en,Napoleonic(Bookshelf),Public domain in the USA.,TRUE
15255,"Hinduism and Buddhism, An Historical Sketch, Vol. 1","Eliot, Charles",4887,en,Buddhism/Hinduism,Public domain in the USA.,TRUE
15256,"The Young Seigneur
Or, Nation-Making","Lighthall, W. D. (William Douw)",5584,en,NA,Public domain in the USA.,TRUE
15257,The Curious Case of Lady Purbeck: A Scandal of the XVIIth Century,"Longueville, Thomas",5953,en,NA,Public domain in the USA.,TRUE
15258,Cecilia de Noël,"Falconer, Lanoe",5954,en,NA,Public domain in the USA.,TRUE
15259,Pearl of Pearl Island,"Oxenham, John",3234,en,NA,Public domain in the USA.,TRUE
15260,"A Portraiture of Quakerism, Volume 1
Taken from a View of the Education and Discipline, Social Manners, Civil and Political Economy, Religious Principles and Character, of the Society of Friends","Clarkson, Thomas",3503,en,NA,Public domain in the USA.,TRUE
15261,"A Portraiture of Quakerism, Volume 2
Taken from a View of the Education and Discipline, Social Manners, Civil and Political Economy, Religious Principles and Character, of the Society of Friends","Clarkson, Thomas",3503,en,NA,Public domain in the USA.,TRUE
15262,"Christianity and Islam in Spain, A.D. 756-1031","Haines, Charles Reginald",5955,en,Islam,Public domain in the USA.,TRUE
15263,"The Underground Railroad
A Record of Facts, Authentic Narratives, Letters, &c., Narrating the Hardships, Hair-Breadth Escapes and Death Struggles of the Slaves in Their Efforts for Freedom, As Related by Themselves and Others, or Witnessed by the Author.","Still, William",5956,en,African American Writers/Children's History/Slavery,Public domain in the USA.,TRUE
15265,The Quest of the Silver Fleece: A Novel,"Du Bois, W. E. B. (William Edward Burghardt)",226,en,African American Writers,Public domain in the USA.,TRUE
15266,What Peace Means,"Van Dyke, Henry",362,en,World War I,Public domain in the USA.,TRUE
15268,"John Stuart Mill; His Life and Works
Twelve Sketches by Herbert Spencer, Henry Fawcett, Frederic Harrison, and Other Distinguished Authors",NA,NA,en,NA,Public domain in the USA.,TRUE
15269,The Empire of Russia: From the Remotest Periods to the Present Time,"Abbott, John S. C. (John Stevens Cabot)",1298,en,NA,Public domain in the USA.,TRUE
15270,"The Brochure Series of Architectural Illustration, Vol. 01, No. 07, July, 1895
Italian Wrought Iron",Various,116,en,The Brochure Series of Architectural Illustration,Public domain in the USA.,TRUE
15271,"Traditions of Lancashire, Volume 1","Roby, John",5971,en,NA,Public domain in the USA.,TRUE
15272,"Spenser's The Faerie Queene, Book I","Spenser, Edmund",2264,en,NA,Public domain in the USA.,TRUE
15274,The Girl from Montana,"Hill, Grace Livingston",2299,en,NA,Public domain in the USA.,TRUE
15275,Bessie's Fortune: A Novel,"Holmes, Mary Jane",1239,en,NA,Public domain in the USA.,TRUE
15276,Bears I Have Met—and Others,"Kelly, Allen",5974,en,NA,Public domain in the USA.,TRUE
15277,The Open Secret of Ireland,"Kettle, Tom",5975,en,NA,Public domain in the USA.,TRUE
15278,The Ramrodders: A Novel,"Day, Holman",1556,en,NA,Public domain in the USA.,TRUE
15279,"A Letter Addressed to the Abbe Raynal, on the Affairs of North America, in Which the Mistakes in the Abbe's Account of the Revolution of America Are Corrected and Cleared Up","Paine, Thomas",91,en,NA,Public domain in the USA.,TRUE
15280,"Lulu, Alice and Jimmie Wibblewobble","Garis, Howard Roger",808,en,NA,Public domain in the USA.,TRUE
15281,Uncle Wiggily's Adventures,"Garis, Howard Roger",808,en,Children's Book Series,Public domain in the USA.,TRUE
15282,Uncle Wiggily's Travels,"Garis, Howard Roger",808,en,Children's Book Series,Public domain in the USA.,TRUE
15283,Disease and Its Causes,"Councilman, W. T. (William Thomas)",5977,en,NA,Public domain in the USA.,TRUE
15284,The Tale of Johnny Town-Mouse,"Potter, Beatrix",292,en,Children's Picture Books,Public domain in the USA.,TRUE
15285,The Hosts of the Air,"Altsheler, Joseph A. (Joseph Alexander)",2561,en,Children's Fiction,Public domain in the USA.,TRUE
15289,"The Truce of God
A Tale of the Eleventh Century","Miles, George Henry",5979,en,NA,Public domain in the USA.,TRUE
15290,Why the Chimes Rang: A Play in One Act,NA,NA,en,One Act Plays,Public domain in the USA.,TRUE
15293,"Influences of Geographic Environment
On the Basis of Ratzel's System of Anthropo-Geography","Semple, Ellen Churchill",5982,en,Anthropology,Public domain in the USA.,TRUE
15294,A Country Doctor and Selected Stories and Sketches,"Jewett, Sarah Orne",202,en,NA,Public domain in the USA.,TRUE
15298,"Sword and crozier, drama in five acts",Indriði Einarsson,5991,en,NA,Public domain in the USA.,TRUE
15299,"Drake, Nelson and Napoleon","Runciman, Walter Runciman, Baron",5889,en,France/Napoleonic(Bookshelf),Public domain in the USA.,TRUE
15300,Mike Flannery On Duty and Off,"Butler, Ellis Parker",585,en,NA,Public domain in the USA.,TRUE
15301,Narratives of Shipwrecks of the Royal Navy; between 1793 and 1849,"Gilly, William O. S.",5986,en,NA,Public domain in the USA.,TRUE
15302,The Man with the Clubfoot,"Williams, Valentine",904,en,NA,Public domain in the USA.,TRUE
15304,"A Portraiture of Quakerism, Volume 3
Taken from a View of the Education and Discipline, Social Manners, Civil and Political Economy, Religious Principles and Character, of the Society of Friends","Clarkson, Thomas",3503,en,NA,Public domain in the USA.,TRUE
15306,"The Mirrors of Downing Street
Some Political Reflections by a Gentleman with a Duster","Begbie, Harold",5055,en,"Bestsellers, American, 1895-1923",Public domain in the USA.,TRUE
15307,The Narrative of Gordon Sellar Who Emigrated to Canada in 1825,"Sellar, Gordon",39150,en,NA,Public domain in the USA.,TRUE
15308,Nitro-Explosives: A Practical Treatise,"Sanford, P. Gerald (Percy Gerald)",5989,en,Technology,Public domain in the USA.,TRUE
15311,Poems By The Way & Love Is Enough,"Morris, William",107,en,NA,Public domain in the USA.,TRUE
15313,A Full Enquiry into the Nature of the Pastoral (1717),"Purney, Thomas",5995,en,NA,Public domain in the USA.,TRUE
15315,"Gladys, the Reaper","Beale, Anne",5997,en,NA,Public domain in the USA.,TRUE
15317,"The Baronet's Bride; Or, A Woman's Vengeance","Fleming, May Agnes",1074,en,NA,Public domain in the USA.,TRUE
15319,"The Government Class Book
Designed for the Instruction of Youth in the Principles
of Constitutional Government and the Rights and Duties of
Citizens.","Young, Andrew W. (Andrew White)",5998,en,United States,Public domain in the USA.,TRUE
15320,"The Romance of the Milky Way, and Other Studies & Stories","Hearn, Lafcadio",368,en,NA,Public domain in the USA.,TRUE
15321,Tracy Park: A Novel,"Holmes, Mary Jane",1239,en,NA,Public domain in the USA.,TRUE
15322,"The American Architect and Building News, Vol. 27, No. 733, January 11, 1890",Various,116,en,The American Architect and Building News,Public domain in the USA.,TRUE
15323,The Green Eyes of Bâst,"Rohmer, Sax",110,en,Crime Fiction,Public domain in the USA.,TRUE
15325,"The Great Round World and What Is Going On In It, Vol. 1, No. 15, February 18, 1897
A Weekly Magazine for Boys and Girls",Various,116,en,The Great Round World And What Is Going On In It,Public domain in the USA.,TRUE
15326,"The Great Round World and What Is Going On In It, Vol. 1, No. 16, February 25, 1897
A Weekly Magazine for Boys and Girls",Various,116,en,The Great Round World And What Is Going On In It,Public domain in the USA.,TRUE
15327,A Library Primer,"Dana, John Cotton",5999,en,NA,Public domain in the USA.,TRUE
15328,"The Lost Hunter
A Tale of Early Times","Adams, John Turvill",6000,en,NA,Public domain in the USA.,TRUE
15329,An apology for the study of northern antiquities,"Elstob, Elizabeth",6001,en,NA,Public domain in the USA.,TRUE
15330,"Punch, or the London Charivari, Volume 152, May 9, 1917",Various,116,en,Punch,Public domain in the USA.,TRUE
15331,"St. Nicholas, Vol. 5, No. 4, February 1878",Various,116,en,St. Nicholas Magazine for Boys and Girls,Public domain in the USA.,TRUE
15332,"Punch, or the London Charivari, Volume 103, September 17, 1892",Various,116,en,Punch,Public domain in the USA.,TRUE
15333,"The Confessions of Nat Turner
The Leader of the Late Insurrections in Southampton, Va. As Fully and Voluntarily Made to Thomas R. Gray, in the Prison Where He Was Confined, and Acknowledged by Him to be Such when Read Before the Court of Southampton; With the Certificate, Under Seal of the Court Convened at Jerusalem, Nov. 5, 1831, For His Trial. Also, an Authentic Account of the Whole Insurrection.","Turner, Nat",6002,en,NA,Public domain in the USA.,TRUE
15335,Madame Chrysanthème,"Loti, Pierre",853,en,NA,Public domain in the USA.,TRUE
15336,The Life of Columbus,"Helps, Arthur, Sir",2469,en,NA,Public domain in the USA.,TRUE
15337,A Source Book of Australian History,NA,NA,en,Australia,Public domain in the USA.,TRUE
15338,"More Toasts
Jokes, Stories and Quotations",NA,NA,en,NA,Public domain in the USA.,TRUE
15342,Notes of a Twenty-Five Years' Service in the Hudson's Bay Territory. Volume I.,"McLean, John",6007,en,NA,Public domain in the USA.,TRUE
15343,A Little Book for Christmas,"Brady, Cyrus Townsend",5591,en,Children's Fiction/Christmas,Public domain in the USA.,TRUE
15344,"Grace Harlowe's Sophomore Year at High School
The Record of the Girl Chums in Work and Athletics","Chase, Josephine",1598,en,Children's Book Series/School Stories,Public domain in the USA.,TRUE
15345,"The Great Events by Famous Historians, Volume 04",NA,NA,en,NA,Public domain in the USA.,TRUE
15348,"Blown to Bits; or, The Lonely Man of Rakata","Ballantyne, R. M. (Robert Michael)",333,en,Children's Fiction,Public domain in the USA.,TRUE
15349,"The Works of John Dryden, now first collected in eighteen volumes. Volume 04","Dryden, John",807,en,NA,Public domain in the USA.,TRUE
15350,A History of English Prose Fiction,"Tuckerman, Bayard",6047,en,NA,Public domain in the USA.,TRUE
15351,H. G. Wells,"Beresford, J. D. (John Davys)",5862,en,NA,Public domain in the USA.,TRUE
15352,"Venereal Diseases in New Zealand (1922)
Report of the Special Committee of the Board of Health appointed by the Hon. Minister of Health",New Zealand. Committee of the Board of Health,6008,en,Medicine/New Zealand,Public domain in the USA.,TRUE
15354,"Notes and Queries, Number 56, November 23, 1850",Various,116,en,Notes and Queries,Public domain in the USA.,TRUE
15355,Nautilus,"Richards, Laura Elizabeth Howe",1753,en,NA,Public domain in the USA.,TRUE
15356,Red Money,"Hume, Fergus",1057,en,NA,Public domain in the USA.,TRUE
15357,The Notorious Mrs. Ebbsmith,"Pinero, Arthur Wing",6013,en,NA,Public domain in the USA.,TRUE
15358,"The Great Round World and What Is Going On In It, Vol. 1, No. 17, March 4, 1897
A Weekly Magazine for Boys and Girls",Various,116,en,The Great Round World And What Is Going On In It,Public domain in the USA.,TRUE
15359,The Negro,"Du Bois, W. E. B. (William Edward Burghardt)",226,en,African American Writers,Public domain in the USA.,TRUE
15360,"The Easiest Way in Housekeeping and Cooking
Adapted to Domestic Use or Study in Classes","Campbell, Helen",2222,en,Cookbooks and Cooking,Public domain in the USA.,TRUE
15362,"The American Missionary — Volume 44, No. 03, March, 1890",Various,116,en,The American Missionary,Public domain in the USA.,TRUE
15363,Carving and Serving,"Lincoln, Mary J. (Mary Johnson)",6016,en,Cookbooks and Cooking,Public domain in the USA.,TRUE
15364,"Society for Pure English Tract 4
The Pronunciation of English Words Derived from the Latin","Sargeaunt, John",6017,en,NA,Public domain in the USA.,TRUE
15365,"A Psychiatric Milestone: Bloomingdale Hospital Centenary, 1821-1921",NA,NA,en,NA,Public domain in the USA.,TRUE
15366,"Punch, or the London Charivari, Volume 103, September 24, 1892",Various,116,en,Punch,Public domain in the USA.,TRUE
15367,"The Magic Speech Flower
or Little Luke and His Animal Friends","Hix, Melvin",6023,en,NA,Public domain in the USA.,TRUE
15368,Fugitive Pieces,"Byron, George Gordon Byron, Baron",1708,en,NA,Public domain in the USA.,TRUE
15369,Old Scores and New Readings: Discussions on Music & Certain Musicians,"Runciman, John F.",5093,en,Opera,Public domain in the USA.,TRUE
15370,Bab Ballads and Savoy Songs,"Gilbert, W. S. (William Schwenck)",395,en,NA,Public domain in the USA.,TRUE
15373,"St. Nicholas, Vol. 5, No. 2, December, 1877",Various,116,en,St. Nicholas Magazine for Boys and Girls,Public domain in the USA.,TRUE
15374,"St. Nicholas, Vol. 5, No. 5, March, 1878",Various,116,en,St. Nicholas Magazine for Boys and Girls,Public domain in the USA.,TRUE
15376,"A General History and Collection of Voyages and Travels, Volume 11
Arranged in Systematic Order: Forming a Complete History
of the Origin and Progress of Navigation, Discovery, and
Commerce, by Sea and Land, from the Earliest Ages to the
Present Time","Kerr, Robert",3594,en,NA,Public domain in the USA.,TRUE
15377,"Punch, or the London Charivari, Volume 152, May 16, 1917",Various,116,en,Punch,Public domain in the USA.,TRUE
15378,Atalanta in Calydon,"Swinburne, Algernon Charles",832,en,NA,Public domain in the USA.,TRUE
15379,"Robert Moffat
The Missionary Hero of Kuruman","Deane, David J.",6026,en,NA,Public domain in the USA.,TRUE
15380,Mrs. Warren's Daughter: A Story of the Woman's Movement,"Johnston, Harry",4771,en,NA,Public domain in the USA.,TRUE
15381,Victorian Short Stories: Stories of Courtship,NA,NA,en,Short Stories,Public domain in the USA.,TRUE
15382,Jess of the Rebel Trail,"Cody, H. A. (Hiram Alfred)",2694,en,NA,Public domain in the USA.,TRUE
15383,The Photoplay: A Psychological Study,"Münsterberg, Hugo",5888,en,NA,Public domain in the USA.,TRUE
