gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
61,The Communist Manifesto,NA,NA,en,Politics/Philosophy/Banned Books from Anne Haight's list,Public domain in the USA.,TRUE
62,A Princess of Mars,"Burroughs, Edgar Rice",48,en,Best Books Ever Listings/Science Fiction,Public domain in the USA.,TRUE
63,"The Number ""e""",Unknown,49,en,Historical Fiction,Public domain in the USA.,TRUE
64,The Gods of Mars,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE
65,"The First 100,000 Prime Numbers",Unknown,49,en,NA,Public domain in the USA.,TRUE
68,The warlord of Mars,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE
69,"The 32nd Mersenne Prime
Predicted by Mersenne","Slowinski, David",52,en,Mathematics,Public domain in the USA.,TRUE
70,What Is Man? and Other Essays,"Twain, Mark",53,en,NA,Public domain in the USA.,TRUE
71,On the Duty of Civil Disobedience,"Thoreau, Henry David",54,en,NA,Public domain in the USA.,TRUE
72,"Thuvia, Maid of Mars","Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE
73,The Red Badge of Courage: An Episode of the American Civil War,"Crane, Stephen",55,en,"US Civil War/Historical Fiction/Best Books Ever Listings/Bestsellers, American, 1895-1923",Public domain in the USA.,TRUE
74,"The Adventures of Tom Sawyer, Complete","Twain, Mark",53,en,Banned Books from Anne Haight's list/Banned Books List from the American Library Association,Public domain in the USA.,TRUE
76,Adventures of Huckleberry Finn,"Twain, Mark",53,en,Best Books Ever Listings/Banned Books from Anne Haight's list/Banned Books List from the American Library Association,Public domain in the USA.,TRUE
77,The House of the Seven Gables,"Hawthorne, Nathaniel",28,en,Best Books Ever Listings,Public domain in the USA.,TRUE
78,Tarzan of the Apes,"Burroughs, Edgar Rice",48,en,Movie Books/Adventure,Public domain in the USA.,TRUE
81,The Return of Tarzan,"Burroughs, Edgar Rice",48,en,NA,Public domain in the USA.,TRUE
82,Ivanhoe: A Romance,"Scott, Walter",59,en,Best Books Ever Listings/Historical Fiction,Public domain in the USA.,TRUE
83,"From the Earth to the Moon; and, Round the Moon","Verne, Jules",60,en,Movie Books/Science Fiction,Public domain in the USA.,TRUE
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",61,en,Precursors of Science Fiction/Gothic Fiction/Movie Books/Science Fiction by Women,Public domain in the USA.,TRUE
85,The Beasts of Tarzan,"Burroughs, Edgar Rice",48,en,Movie Books/Adventure,Public domain in the USA.,TRUE
86,A Connecticut Yankee in King Arthur's Court,"Twain, Mark",53,en,Precursors of Science Fiction/Arthurian Legends,Public domain in the USA.,TRUE
87,The 1993 CIA World Factbook,United States. Central Intelligence Agency,8,en,CIA World Factbooks,Public domain in the USA.,TRUE
88,Price/Cost Indexes from 1875 to 1989; Estimated to 2010,"Hart, Michael",958,en,NA,Public domain in the USA.,TRUE
89,"North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions",Canada,62,en,NA,Public domain in the USA.,TRUE
90,The Son of Tarzan,"Burroughs, Edgar Rice",48,en,Adventure/Movie Books/Contemporary Reviews,Public domain in the USA.,TRUE
91,Tom Sawyer Abroad,"Twain, Mark",53,en,NA,Public domain in the USA.,TRUE
92,Tarzan and the Jewels of Opar,"Burroughs, Edgar Rice",48,en,Movie Books/Adventure,Public domain in the USA.,TRUE
93,"Tom Sawyer, Detective","Twain, Mark",53,en,NA,Public domain in the USA.,TRUE
94,Alexander's Bridge,"Cather, Willa",22,en,NA,Public domain in the USA.,TRUE
95,The Prisoner of Zenda,"Hope, Anthony",63,en,"Adventure/Best Books Ever Listings/Movie Books/Bestsellers, American, 1895-1923",Public domain in the USA.,TRUE
96,The Monster Men,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE
97,Flatland: A Romance of Many Dimensions,"Abbott, Edwin Abbott",64,en,Science Fiction/Mathematics,Public domain in the USA.,TRUE
98,A Tale of Two Cities,"Dickens, Charles",37,en,Historical Fiction,Public domain in the USA.,TRUE
99,Collected Articles of Frederick Douglass,"Douglass, Frederick",34510,en,African American Writers/Slavery,Public domain in the USA.,TRUE
100,The Complete Works of William Shakespeare,"Shakespeare, William",65,en,Plays,Public domain in the USA.,TRUE
102,The Tragedy of Pudd'nhead Wilson,"Twain, Mark",53,en,NA,Public domain in the USA.,TRUE
103,Around the World in Eighty Days,"Verne, Jules",60,en,Adventure/Best Books Ever Listings/Movie Books,Public domain in the USA.,TRUE
104,"Inaugural Address of Franklin Delano Roosevelt
Given in Washington, D.C. March 4th, 1933","Roosevelt, Franklin D. (Franklin Delano)",67,en,NA,Public domain in the USA.,TRUE
105,Persuasion,"Austen, Jane",68,en,NA,Public domain in the USA.,TRUE
106,Jungle Tales of Tarzan,"Burroughs, Edgar Rice",48,en,Movie Books/Adventure,Public domain in the USA.,TRUE
